"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3207872291","x1206835258919968768",2019-12-17 07:15:22,"DrSCDonnelly","Ward round yesterday one patient named a few Christmas themed Carol's for the #intestinal #rehab ward. Can you name a few more?
The Holly and the IV
Gut King Wencelas
@StMarksHospital @BowelsOfStMarks @diane_brundrett @UchuMeade @simongabe @Charl0tteRutter @cw07dr https://t.co/N54lwOyYW5","Twitter for Android",264,,,,FALSE,FALSE,13,1,,,"intestinal rehab",,,,,"http://pbs.twimg.com/tweet_video_thumb/EL-KRCeXkAAd7Cc.jpg","https://t.co/N54lwOyYW5","https://twitter.com/DrSCDonnelly/status/1206835258919968768/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EL-KRCeXkAAd7Cc.jpg","https://t.co/N54lwOyYW5","https://twitter.com/DrSCDonnelly/status/1206835258919968768/photo/1",,"x1516231723 x28530102 x57690936 x2535895521 x111361565 x1645427820 x721846026","StMarksHospital BowelsOfStMarks diane_brundrett UchuMeade simongabe Charl0tteRutter cw07dr","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DrSCDonnelly/status/1206835258919968768","Suzanne Morton","London, England","Consultant gastroenterologist, PhD positive, sailor, skier, singer and food fanatic. Views are my own",,FALSE,764,724,7,5638,6704,2015-04-26 10:58:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/3207872291/1494075457","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/808094960578859009/BWkjV2zt_normal.jpg"
"x956714248058499072","x1206624339514150914",2019-12-16 17:17:15,"otr_la","In #life #courage #heart #respect #Intestinal fortitude comes in all #sizes this young man has this #coaching #mentoring future #leaders is #important and #rewarding in ways words can not express #congratulations Benitez for #receiving Rookie Award &amp; Coaches Award @LelandWhiteOTR https://t.co/Tup1WaIGDH","Twitter for iPhone",284,,,,FALSE,FALSE,0,0,,,"life courage heart respect Intestinal sizes coaching mentoring leaders important rewarding congratulations receiving",,,,,"http://pbs.twimg.com/media/EL7Kb6WU0AMt0CZ.jpg","https://t.co/Tup1WaIGDH","https://twitter.com/otr_la/status/1206624339514150914/photo/1","photo","http://pbs.twimg.com/media/EL7Kb6WU0AMt0CZ.jpg","https://t.co/Tup1WaIGDH","https://twitter.com/otr_la/status/1206624339514150914/photo/1",,"x295790888","LelandWhiteOTR","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/otr_la/status/1206624339514150914","O.T.R. Entertainment","Anaheim, CA","Based out of Los Angeles, On the Rise is a music curating platform bringing you the hottest music in the game.","https://t.co/fTnxfzqf1x",FALSE,18,1,0,534,26,2018-01-26 02:23:46,FALSE,"https://t.co/fTnxfzqf1x","http://www.otr.la",,"https://pbs.twimg.com/profile_banners/956714248058499072/1549667284","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1147984566239424512/5bhBuiNM_normal.jpg"
"x2972883338","x1206624220207173639",2019-12-16 17:16:46,"GunzAmmo","In #life #courage #heart #respect #Intestinal fortitude comes in all #sizes this young man has this #coaching #mentoring future #leaders is #important and #rewarding in ways words can not express #congratulations Benitez for #receiving Rookie Award &amp; Coaches Award @LelandWhiteOTR https://t.co/0KwgQIiorC","Twitter for iPhone",284,,,,FALSE,FALSE,0,0,,,"life courage heart respect Intestinal sizes coaching mentoring leaders important rewarding congratulations receiving",,,,,"http://pbs.twimg.com/media/EL7KVLbU0AQ6L2A.jpg","https://t.co/0KwgQIiorC","https://twitter.com/GunzAmmo/status/1206624220207173639/photo/1","photo","http://pbs.twimg.com/media/EL7KVLbU0AQ6L2A.jpg","https://t.co/0KwgQIiorC","https://twitter.com/GunzAmmo/status/1206624220207173639/photo/1",,"x295790888","LelandWhiteOTR","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GunzAmmo/status/1206624220207173639","Gunz&Ammo","Buena Park Ca ","IS A SOURCE OF INSPIRATION AND A INDUSTRY SHOT OF REALITY. THEY COME FROM THE STREETS OF CHICAGO WITH KNOWLEDGE OF THE STREETS","https://t.co/EbuFXHfxDN",FALSE,23,67,0,768,37,2015-01-10 19:53:43,FALSE,"https://t.co/EbuFXHfxDN","http://www.gunzammo.com",,"https://pbs.twimg.com/profile_banners/2972883338/1549667422","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/554004214452473856/Y88t2quB_normal.jpeg"
"x295790888","x1206623958260314112",2019-12-16 17:15:44,"LelandWhiteOTR","In #life #courage #heart #respect #Intestinal fortitude comes in all #sizes this young man has this #coaching #mentoring future #leaders is #important and #rewarding in ways words can not express #congratulations Benitez for #receiving Rookie Award &amp; Coaches Award @LelandWhiteOTR https://t.co/Y9ZYNuOgcD","Twitter for iPhone",284,,,,FALSE,FALSE,0,0,,,"life courage heart respect Intestinal sizes coaching mentoring leaders important rewarding congratulations receiving",,,,,"http://pbs.twimg.com/media/EL7KF7fU0AA_hF9.jpg","https://t.co/Y9ZYNuOgcD","https://twitter.com/LelandWhiteOTR/status/1206623958260314112/photo/1","photo","http://pbs.twimg.com/media/EL7KF7fU0AA_hF9.jpg","https://t.co/Y9ZYNuOgcD","https://twitter.com/LelandWhiteOTR/status/1206623958260314112/photo/1",,"x295790888","LelandWhiteOTR","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LelandWhiteOTR/status/1206623958260314112","LelandWhiteOTR","Anaheim, CA","ACCEPTING RISE ONLY PUBLIC & MOTIVATIONAL SPEAKER / INTERNET RADIO STATION OWNER SALES TRAINER SAG / AFTRA ACTOR PRODUCER/DIRECTOR #motivator #public #speaker","https://t.co/fTnxfzqf1x",FALSE,1695,4496,34,14056,439,2011-05-09 17:30:28,FALSE,"https://t.co/fTnxfzqf1x","http://www.otr.la",,"https://pbs.twimg.com/profile_banners/295790888/1575573895","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1202670200979480576/o8OndG1p_normal.jpg"
"x4053802049","x1206610076263501825",2019-12-16 16:20:34,"APSPublications","Use of organoids to study regenerative responses to #intestinal damage - new Theme article in @ajpgi 

https://t.co/zFpZNggrhu https://t.co/GNFez7zPaX","TweetDeck",126,,,,FALSE,FALSE,0,0,,,"intestinal",,"physiology.org/doi/full/10.11…","https://t.co/zFpZNggrhu","https://www.physiology.org/doi/full/10.1152/ajpgi.00346.2018","http://pbs.twimg.com/media/EL69bRhWkAEY0Ff.png","https://t.co/GNFez7zPaX","https://twitter.com/APSPublications/status/1206610076263501825/photo/1","photo","http://pbs.twimg.com/media/EL69bRhWkAEY0Ff.png","https://t.co/GNFez7zPaX","https://twitter.com/APSPublications/status/1206610076263501825/photo/1",,"x870200923","ajpgi","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/APSPublications/status/1206610076263501825","APS Publications","Bethesda, MD","Official Twitter handle for American Physiological Society Publications. For more APS, follow @APSPhysiology, @ExecDirectorAPS, @SciPolAPS, & @APSEducation.","https://t.co/Z5GjGM0lgF",FALSE,2208,438,30,4579,1306,2015-10-27 14:01:53,FALSE,"https://t.co/Z5GjGM0lgF","http://www.physiology.org",,"https://pbs.twimg.com/profile_banners/4053802049/1529516604","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1121871161166581761/Q2IwoHWV_normal.png"
"x29775575","x1206353141249105920",2019-12-15 23:19:36,"HealthyFellow","#Lactobacillus #Rhamnosus Dose-Dependently Balance #Intestinal #Microbiome #Disorders &amp; Ameliorate Chronic #Alcohol-Induced #Liver Injury Attn: ⁦@DrRuscio⁩ ⁦@IpcProbiotic⁩ ⁦@IP_Association⁩ ⁦@Culturelle⁩ ⁦@hepatology_bio⁩  https://t.co/L8zIqtOrSN","Twitter for iPhone",250,,,,FALSE,FALSE,2,1,,,"Lactobacillus Rhamnosus Intestinal Microbiome Disorders Alcohol Liver",,"liebertpub.com/doi/full/10.10…","https://t.co/L8zIqtOrSN","https://www.liebertpub.com/doi/full/10.1089/jmf.2018.4357?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed&",,,,,,,,,"x124895075 x2827984093 x3245710776 x17909053 x252522074","DrRuscio IpcProbiotic IP_Association Culturelle hepatology_bio","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HealthyFellow/status/1206353141249105920","J P Fanton","USA","IIN Health Coach, Natural Health Consultant, Researcher & Writer. More Info: https://t.co/H9Qt322fLy Looking for a Health Coach? 👉🏻 jp@healthyfellow.com","https://t.co/c4Jm0ocUZe",FALSE,19706,18652,1200,40069,4308,2009-04-08 17:59:17,FALSE,"https://t.co/c4Jm0ocUZe","https://www.amazon.com/shop/healthyfellow",,,"http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/480798063091392513/5Zz0mSUG_normal.jpeg"
"x1164111181134684161","x1205501273832902656",2019-12-13 14:54:35,"VerwayHealth","Customer Feedback: Hello Verway #DTX, first of all I would like to say that you are terrific. I have had problems with my #intestinal #flora and therefore extreme problems with my skin for years, I came to DTX on the recommendation of a Verway partner.","Twitter Web App",252,,,,FALSE,FALSE,0,0,,,"DTX intestinal flora",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VerwayHealth/status/1205501273832902656","Verway Health & Fitness & Digital","","Discover our innovative #health & #fitness and #digital products at #Verway!","https://t.co/sMmZnpKs5J",FALSE,10,49,0,80,158,2019-08-21 09:46:32,FALSE,"https://t.co/sMmZnpKs5J","http://www.verway-online.net",,"https://pbs.twimg.com/profile_banners/1164111181134684161/1575192266",,"http://pbs.twimg.com/profile_images/1178187459743670272/psJSgSDR_normal.jpg"
"x398592983","x1205194368484872197",2019-12-12 18:35:03,"recherche_anima","#Hepatitis #alcohol: in # mice 🐁 ingesting granules of #Lactobacillus rhamnosus for 2 weeks rebalances the #intestinal #microbiota and reduces liver damage caused by alcohol (steatosis, fat, inflammation) 😮 😃👍 https://t.co/7Xg1ZT96RJ https://t.co/jK2oUMVmAz","Hootsuite Inc.",233,,,,FALSE,FALSE,0,0,,,"Hepatitis alcohol Lactobacillus intestinal microbiota",,"ow.ly/hLTp50xxdks","https://t.co/7Xg1ZT96RJ","http://ow.ly/hLTp50xxdks","http://pbs.twimg.com/media/ELm15ClXsAABF7H.jpg","https://t.co/jK2oUMVmAz","https://twitter.com/recherche_anima/status/1205194368484872197/photo/1","photo","http://pbs.twimg.com/media/ELm15ClXsAABF7H.jpg","https://t.co/jK2oUMVmAz","https://twitter.com/recherche_anima/status/1205194368484872197/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/recherche_anima/status/1205194368484872197","Recherche animale","France","Actualité en recherche animale : #science #recherche #santé #médecine #biomédical #biologie #animaux #OneHealth #environnement #3R #Méthodes_alternatives","http://t.co/NVtCl4EAtA",FALSE,3602,720,187,18756,561,2011-10-26 08:40:08,FALSE,"http://t.co/NVtCl4EAtA","http://www.recherche-animale.org/",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2307573988/9kzjbytq6k2m8q57hodz_normal.jpeg"
"x2257558088","x1205163907624689666",2019-12-12 16:34:01,"_atanas_","DeSUMOylase SENP7-Mediated Epithelial Signaling Triggers Intestinal Inflammation via Expansion of Gamma-Delta T Cells 

#Epithelial #Intestinal #TCells 
https://t.co/iHe3rxEOfC","Buffer",176,,,,FALSE,FALSE,6,5,,,"Epithelial Intestinal TCells",,"sciencedirect.com/science/articl…","https://t.co/iHe3rxEOfC","https://www.sciencedirect.com/science/article/pii/S2211124719314998?dgcid=rss_sd_all",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_atanas_/status/1205163907624689666","Atanas G. Atanasov","","Leading Scientist. Molecular Medicine and Digital Health. Editor-in-Chief: #CRBIOTECH. Executive Director: #INPST.","https://t.co/apGj632gH3",FALSE,115512,71644,1800,40409,75314,2013-12-22 10:30:36,FALSE,"https://t.co/apGj632gH3","https://inpst.net/contact/",,"https://pbs.twimg.com/profile_banners/2257558088/1572581350","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/883586748244262912/o90PC6JY_normal.jpg"
"x397912882","x1204741201959804929",2019-12-11 12:34:20,"NatRevGastroHep","We are now beginning to understand the roles of #intestinal gases, generated via chemical interactions or the microbial metabolism of dietary substrates, in gut homeostasis and pathophysiology. More in this REVIEW 

#SharedIt https://t.co/e2kZKxyoH6 https://t.co/9SVQsPNxEw","TweetDeck",249,,,,FALSE,FALSE,25,14,,,"intestinal SharedIt",,"go.nature.com/2sj0p8s","https://t.co/e2kZKxyoH6","https://go.nature.com/2sj0p8s","http://pbs.twimg.com/media/ELgYBgJXsAEbsEb.jpg","https://t.co/9SVQsPNxEw","https://twitter.com/NatRevGastroHep/status/1204741201959804929/photo/1","photo","http://pbs.twimg.com/media/ELgYBgJXsAEbsEb.jpg","https://t.co/9SVQsPNxEw","https://twitter.com/NatRevGastroHep/status/1204741201959804929/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NatRevGastroHep/status/1204741201959804929","Nature Reviews Gastroenterology & Hepatology","London, UK","We publish #gastroenterology & #hepatology Reviews and opinion. #GastroEdPick selections by the Editors: Katrina, Iain & Jordan | #medtwitter | #sciencetwitter","https://t.co/d9e69FPYba",FALSE,16310,1809,311,9683,1049,2011-10-25 09:53:20,TRUE,"https://t.co/d9e69FPYba","http://www.nature.com/nrgastro",,"https://pbs.twimg.com/profile_banners/397912882/1553686230","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1186995598651809793/_mOjsxUk_normal.jpg"
