"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x864801181","x1207323601906601986",2019-12-18 15:35:52,"alanwplace","Today's #quote ""Between a rock and a hard place""
Half of the meds I take for Blood Pressure will give me #kidney problems.
😉😉","Twitter Web App",125,,,,FALSE,FALSE,0,0,,,"quote kidney",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/alanwplace/status/1207323601906601986","Alan Place","Bristol, UK","Husband, father.","https://t.co/XxT2zw3Zzm",FALSE,1360,244,310,33521,2202,2012-10-06 14:44:06,FALSE,"https://t.co/XxT2zw3Zzm","https://www.amazon.com/-/e/B007U50BOI",,"https://pbs.twimg.com/profile_banners/864801181/1576500511","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1206556703644364800/G0BW6-ps_normal.jpg"
"x69331812","x1207323591618027520",2019-12-18 15:35:49,"endPKD","Attention friends! If you missed the PKD Foundation's educational webinar on ""Treating Polycystic Kidney Disease: Could Diet Be The Key?"", you can now watch the recording online. #endPKD #kidney #Canada
https://t.co/ALBWI0mz8n","Twitter Web App",226,,,,FALSE,FALSE,0,0,,,"endPKD kidney Canada",,"pkdcure.org/resource/treat…","https://t.co/ALBWI0mz8n","http://pkdcure.org/resource/treating-pkd-could-diet-be-the-key/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/endPKD/status/1207323591618027520","PKD Foundation / CDA","Toronto ON, Canada","The PKD Foundation of Canada is the only national organization dedicated to promoting research to find a cure for polycystic kidney disease (PKD). #endPKD","https://t.co/z9JbR3gj92",FALSE,711,552,8,1756,1424,2009-08-27 16:18:04,FALSE,"https://t.co/z9JbR3gj92","http://www.endpkd.ca",,"https://pbs.twimg.com/profile_banners/69331812/1575558274","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/905099535533432833/3b3T6HgE_normal.jpg"
"x69331812","x1204768809187459072",2019-12-11 14:24:02,"endPKD","SAVE THE DATE! Attention #Halifax residents. We hope you can join us for this upcoming meet &amp; greet on Jan. 15 2020! https://t.co/4bwH6QFVeF #endPKD #kidney #Canada https://t.co/rEFiCvp6J4","Twitter Web App",168,,,,FALSE,FALSE,2,1,,,"Halifax endPKD kidney Canada",,"endpkd.ca/halifaxjanuary…","https://t.co/4bwH6QFVeF","http://www.endpkd.ca/halifaxjanuary2020","http://pbs.twimg.com/media/ELgy1ygX0AA7TNz.jpg","https://t.co/rEFiCvp6J4","https://twitter.com/endPKD/status/1204768809187459072/photo/1","photo","http://pbs.twimg.com/media/ELgy1ygX0AA7TNz.jpg","https://t.co/rEFiCvp6J4","https://twitter.com/endPKD/status/1204768809187459072/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/endPKD/status/1204768809187459072","PKD Foundation / CDA","Toronto ON, Canada","The PKD Foundation of Canada is the only national organization dedicated to promoting research to find a cure for polycystic kidney disease (PKD). #endPKD","https://t.co/z9JbR3gj92",FALSE,711,552,8,1756,1424,2009-08-27 16:18:04,FALSE,"https://t.co/z9JbR3gj92","http://www.endpkd.ca",,"https://pbs.twimg.com/profile_banners/69331812/1575558274","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/905099535533432833/3b3T6HgE_normal.jpg"
"x69331812","x1204416708804395014",2019-12-10 15:04:55,"endPKD","Attention friends! The @PKDFoundation has a FREE upcoming educational webinar entitled ""Treating Polycystic Kidney Disease: Could Diet Be The Key?"" taking place today from 8:00PM - 9:00PM EST! To register, visit the link below. #endPKD #kidney #Canada 
https://t.co/NQRVQ82spo","Twitter Web App",276,,,,FALSE,FALSE,4,2,,,"endPKD kidney Canada",,"bit.ly/2sfJIe4","https://t.co/NQRVQ82spo","https://bit.ly/2sfJIe4",,,,,,,,,"x42734224","PKDFoundation","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/endPKD/status/1204416708804395014","PKD Foundation / CDA","Toronto ON, Canada","The PKD Foundation of Canada is the only national organization dedicated to promoting research to find a cure for polycystic kidney disease (PKD). #endPKD","https://t.co/z9JbR3gj92",FALSE,711,552,8,1756,1424,2009-08-27 16:18:04,FALSE,"https://t.co/z9JbR3gj92","http://www.endpkd.ca",,"https://pbs.twimg.com/profile_banners/69331812/1575558274","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/905099535533432833/3b3T6HgE_normal.jpg"
"x1092056084628586497","x1207319490687574018",2019-12-18 15:19:32,"coffee_karla","Low Sodium 🧂 Diet Tip:Please use HERBS as SPICES instead salt 🧂 daily #salt   #heart    #dialyisis    #kidney     #kidneydisease   #StrokeSurvivor    #bloodpressure    #herbs   #nutrition    #dietitian   #dinner    #mealprep    #Cooking    #Diet    #Foodies   #weightlosstips https://t.co/aFAmrfOBGX","Twitter for iPhone",275,,,,FALSE,FALSE,0,0,,,"salt heart dialyisis kidney kidneydisease StrokeSurvivor bloodpressure herbs nutrition dietitian dinner mealprep Cooking Diet Foodies weightlosstips",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1207319383535767552/pu/img/oCWRjGqyxxZXCaFb.jpg","https://t.co/aFAmrfOBGX","https://twitter.com/coffee_karla/status/1207319490687574018/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1207319383535767552/pu/img/oCWRjGqyxxZXCaFb.jpg","https://t.co/aFAmrfOBGX","https://twitter.com/coffee_karla/status/1207319490687574018/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/coffee_karla/status/1207319490687574018","KarlasNutritionTips","Georgia, USA","Registered Dietitian/Gerontologist dropping nutrition knowledge for Americans 0-99 years old. #dietitian #food #nutrition #healthy #GoRedforWomen 🍏🍐🥑🥦🥕","https://t.co/WyaXkpA9mN",FALSE,98,550,0,233,8,2019-02-03 13:43:54,FALSE,"https://t.co/WyaXkpA9mN","http://karlacoffeedunning.com",,"https://pbs.twimg.com/profile_banners/1092056084628586497/1549201807",,"http://pbs.twimg.com/profile_images/1094044574991958018/mUW2Otb2_normal.jpg"
"x1092056084628586497","x1206009444104122368",2019-12-15 00:33:52,"coffee_karla","Renal Friendly Diet Tips: Please do not use Salt 🧂 Substitute or Lite Salt  #kidneydisease    #nutrition  #HeartHealth    #kidney      #cooking   #mealprep       #potassium    #Salt    #Diet    #dietitian   #Food    #dinner    #eat   #Health     #weekendvibes   #HealthyEating https://t.co/AzYCLcWaTT","Twitter for iPhone",276,,,,FALSE,FALSE,0,0,,,"kidneydisease nutrition HeartHealth kidney cooking mealprep potassium Salt Diet dietitian Food dinner eat Health weekendvibes HealthyEating",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1206009388143718411/pu/img/WMbdCSvMe_UTCONA.jpg","https://t.co/AzYCLcWaTT","https://twitter.com/coffee_karla/status/1206009444104122368/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1206009388143718411/pu/img/WMbdCSvMe_UTCONA.jpg","https://t.co/AzYCLcWaTT","https://twitter.com/coffee_karla/status/1206009444104122368/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/coffee_karla/status/1206009444104122368","KarlasNutritionTips","Georgia, USA","Registered Dietitian/Gerontologist dropping nutrition knowledge for Americans 0-99 years old. #dietitian #food #nutrition #healthy #GoRedforWomen 🍏🍐🥑🥦🥕","https://t.co/WyaXkpA9mN",FALSE,98,550,0,233,8,2019-02-03 13:43:54,FALSE,"https://t.co/WyaXkpA9mN","http://karlacoffeedunning.com",,"https://pbs.twimg.com/profile_banners/1092056084628586497/1549201807",,"http://pbs.twimg.com/profile_images/1094044574991958018/mUW2Otb2_normal.jpg"
"x194586164","x1207316597582512128",2019-12-18 15:08:02,"BionestPartners","Alnylam preps next filing as rare kidney disease med aces phase 3. Will Alnylam see another approval in the not so distant future, this time for a #kidney drug?
https://t.co/rDjmkIqvbI https://t.co/98vwRA9t8C","Buffer",184,,,,FALSE,FALSE,0,0,,,"kidney",,"buff.ly/2S5sds4","https://t.co/rDjmkIqvbI","https://buff.ly/2S5sds4","http://pbs.twimg.com/media/EMFADCHXsAAqwaL.jpg","https://t.co/98vwRA9t8C","https://twitter.com/BionestPartners/status/1207316597582512128/photo/1","photo","http://pbs.twimg.com/media/EMFADCHXsAAqwaL.jpg","https://t.co/98vwRA9t8C","https://twitter.com/BionestPartners/status/1207316597582512128/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BionestPartners/status/1207316597582512128","Bionest Partners","New York, Paris","Actionable Strategies for Life Sciences","http://t.co/Am3HTY03RR",FALSE,301,523,10,1753,1,2010-09-24 14:12:02,FALSE,"http://t.co/Am3HTY03RR","http://www.bionest.com",,"https://pbs.twimg.com/profile_banners/194586164/1389735931","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/423209684909056000/6QkJu3EJ_normal.jpeg"
"x959436647006797824","x1204793636682113024",2019-12-11 16:02:41,"CDRGNews","Teen diagnosed with kidney disease searching for donor https://t.co/3WUI6RM4YH

#kidney #kidneydisease #CKD #donatelife #livingdonors","Hootsuite Inc.",133,,,,FALSE,FALSE,0,0,,,"kidney kidneydisease CKD donatelife livingdonors",,"ow.ly/qHQb50xggI2","https://t.co/3WUI6RM4YH","http://ow.ly/qHQb50xggI2",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CDRGNews/status/1204793636682113024","Chronic Disease Research Group (CDRG)","Minneapolis, MN","","https://t.co/MIB4ynLwhM",FALSE,83,76,0,354,96,2018-02-02 14:41:36,FALSE,"https://t.co/MIB4ynLwhM","http://cdrg.org",,"https://pbs.twimg.com/profile_banners/959436647006797824/1522093302","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/978356192136249351/hcRf5WZi_normal.jpg"
"x959436647006797824","x1207315330130960384",2019-12-18 15:03:00,"CDRGNews","Comm Students working to make Kidney Disease ‘visible’ https://t.co/pafLir8qLP via .@BSC_Record 

#kidney #kidneydisease #CKD","Hootsuite Inc.",125,,,,FALSE,FALSE,0,0,,,"kidney kidneydisease CKD",,"buffstaterecord.com/?p=13917","https://t.co/pafLir8qLP","https://buffstaterecord.com/?p=13917",,,,,,,,,"x774034784","BSC_Record","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CDRGNews/status/1207315330130960384","Chronic Disease Research Group (CDRG)","Minneapolis, MN","","https://t.co/MIB4ynLwhM",FALSE,83,76,0,354,96,2018-02-02 14:41:36,FALSE,"https://t.co/MIB4ynLwhM","http://cdrg.org",,"https://pbs.twimg.com/profile_banners/959436647006797824/1522093302","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/978356192136249351/hcRf5WZi_normal.jpg"
"x109611471","x1207314580235374598",2019-12-18 15:00:01,"FierceHealthIT","HHS proposes plan to boost number of #kidney transplants.
https://t.co/omKZpE4RrQ","TweetDeck",81,,,,FALSE,FALSE,0,0,,,"kidney",,"fiercehealthcare.com/payer/trump-ad…","https://t.co/omKZpE4RrQ","https://www.fiercehealthcare.com/payer/trump-administration-proposes-plan-to-boost-number-kidney-transplants",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FierceHealthIT/status/1207314580235374598","FierceHealthIT","Washington, D.C.","We deliver need-to-know news, insights and trends to healthcare executives, CIOs and IT managers l Subscribe to our free newsletter: https://t.co/rMuSbGgjTb","https://t.co/QkeLEttDDO",FALSE,44281,2372,1434,21641,111,2010-01-29 17:09:54,FALSE,"https://t.co/QkeLEttDDO","http://www.fiercehealthcare.com/it",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/592791752752418816/In3jcCyK_normal.jpg"
