"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1357518265","x1207320371185291264",2019-12-18 15:23:02,"JACIInPractice","In Press! ""Temporal change in #maternal #dietary intake during #pregnancy and #lactation between and within two #pregnancy cohorts assembled in the United Kingdom"" https://t.co/D6wxyOxsvZ https://t.co/Wm1DXuRBIB","Buffer",187,,,,FALSE,FALSE,0,0,,,"maternal dietary pregnancy lactation pregnancy",,"buff.ly/2PYWTIy","https://t.co/D6wxyOxsvZ","https://buff.ly/2PYWTIy","http://pbs.twimg.com/media/EMFDerxXYAAqo5u.png","https://t.co/Wm1DXuRBIB","https://twitter.com/JACIInPractice/status/1207320371185291264/photo/1","photo","http://pbs.twimg.com/media/EMFDerxXYAAqo5u.png","https://t.co/Wm1DXuRBIB","https://twitter.com/JACIInPractice/status/1207320371185291264/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JACIInPractice/status/1207320371185291264","JACI: In Practice","","JACI: In Practice covers the spectrum of conditions treated by allergist-immunologists in their practices.",,FALSE,2494,31,19,1517,28,2013-04-16 18:02:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/1357518265/1492627421","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1192077311660711936/h_op8zgf_normal.jpg"
"x2372078136","x1207207518633639937",2019-12-18 07:54:35,"lisa_toni_burke","President of fondationfollereau visiting the newly opened #Maternity #Hospital they created on a lake to serve communities without access to healthcare.

connyreichling lilie_cos kpanoukaddi noricine #maternal… https://t.co/tFXCv4IaDM","Instagram",234,,,,FALSE,FALSE,1,1,,,"Maternity Hospital maternal",,"instagram.com/p/B6NL-APAzp8/…","https://t.co/tFXCv4IaDM","https://www.instagram.com/p/B6NL-APAzp8/?igshid=xojfpcvkee6l",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/ee84ba0d0454651a.json","Benin","Benin","country","Benin","BJ","6.5 2.4","2.4 6.5","0.7731631 3.843129 3.843129 0.7731631 6.1197711 6.1197711 12.4093537 12.4093537","https://twitter.com/lisa_toni_burke/status/1207207518633639937","Lisa Burke","Luxembourg","Presenter | Moderator | RTL Today creator | Media - Public-speaking coach | Science writer & consultant | Singer",,FALSE,797,732,6,588,1731,2014-03-04 15:43:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/2372078136/1574541029","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1144128650364751873/aA5hZtmD_normal.png"
"x936525317027459072","x1207202056089604097",2019-12-18 07:32:53,"New_bellus","Early #maternal eating habits and #breastfeeding may have a significant influence on the #fetal #gut #microbiota composition of #infants from gestational #diabetes #mellitus (#GDM) women. 
https://t.co/xvuU7ZQAeT","Twitter Web App",212,,,,FALSE,FALSE,1,0,,,"maternal breastfeeding fetal gut microbiota infants diabetes mellitus GDM",,"doi.org/10.1371/journa…","https://t.co/xvuU7ZQAeT","https://doi.org/10.1371/journal.pone.0226545",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/New_bellus/status/1207202056089604097","New Bellus","台南市, 台灣","Specializing in functional probiotics, medicinal mushrooms, innovative fermented food & beverage, and foods for special medical purposes.","https://t.co/WwFEWYz2wQ",FALSE,293,316,0,992,97,2017-12-01 09:20:10,FALSE,"https://t.co/WwFEWYz2wQ","http://www.newbellus.com.tw/",,"https://pbs.twimg.com/profile_banners/936525317027459072/1570603703","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/941232089113927680/j64L4uzh_normal.jpg"
"x1120266717920407552","x1207195517685391361",2019-12-18 07:06:54,"Tnursinghome","Factors Responsible For High Risk Pregnancy 
* Advanced Maternal Age 35
* Pregnancy Complication 
* Multiple Pregnancy 

#Pregnancy  #Maternal #Age #PregnancyComplication #NursingHome #ThakralNursingHome  #Gurgaon

https://t.co/A4hwYm20kv https://t.co/SriNow5ycZ","Twitter Web App",238,,,,FALSE,FALSE,1,0,,,"Pregnancy Maternal Age PregnancyComplication NursingHome ThakralNursingHome Gurgaon",,"thakralnursinghome.com","https://t.co/A4hwYm20kv","http://thakralnursinghome.com/","http://pbs.twimg.com/media/EMDR68wUwAAhKDA.jpg","https://t.co/SriNow5ycZ","https://twitter.com/Tnursinghome/status/1207195517685391361/photo/1","photo","http://pbs.twimg.com/media/EMDR68wUwAAhKDA.jpg","https://t.co/SriNow5ycZ","https://twitter.com/Tnursinghome/status/1207195517685391361/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Tnursinghome/status/1207195517685391361","Thakral Nursing and Maternity Home","Gurgaon, India","We have been committed to high quality maternity & surgical services with personal touch for over 18 Years. We have world class IVF facility at reasonable cost.","https://t.co/86nBp2KlcE",FALSE,10,124,0,98,0,2019-04-22 10:02:53,FALSE,"https://t.co/86nBp2KlcE","https://thakralnursinghome.com/",,"https://pbs.twimg.com/profile_banners/1120266717920407552/1557137466",,"http://pbs.twimg.com/profile_images/1125342143617200128/eZVC9R65_normal.png"
"x533152036","x1207193779192467456",2019-12-18 07:00:00,"Dr_Rath_News","#Maternal #vitaminA dietary intake during #pregnancy has been found to be inversely associated with the risk of an incomplete formation of the #diaphragm in the #baby.  
https://t.co/tJK8ObvNso","TweetDeck",193,,,,FALSE,FALSE,2,0,,,"Maternal vitaminA pregnancy diaphragm baby",,"dr-rath-foundation.org/2019/10/low-in…","https://t.co/tJK8ObvNso","https://www.dr-rath-foundation.org/2019/10/low-intake-of-vitamin-a-in-early-pregnancy-associated-with-birth-defects/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Dr_Rath_News/status/1207193779192467456","Dr. Rath Foundation","Heerlen, Nederland","Non-profit organization founded by Dr. Matthias Rath. Spreading the scientific facts about natural health; critical eye on pharma and GMOs.",,FALSE,5681,3904,134,10466,141,2012-03-22 13:44:02,FALSE,,,,"https://pbs.twimg.com/profile_banners/533152036/1557240926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1125727273733316608/5oBaa6bI_normal.png"
"x1197084865772032001","x1207032918767480833",2019-12-17 20:20:48,"SRHgroup_ITM","Would you like to conduct rigorous #maternal health research, learn new skills, be embedded within a supportive team, and work toward a PhD? Look no further - we are looking for an ambitious and passionate new colleague. https://t.co/D54ctFP0KO Application deadline Jan 31, 2020. https://t.co/AmzcGMYhVa","Twitter Web App",279,,,,FALSE,FALSE,19,8,,,"maternal",,"itg.be/E/Vacancy/rese…","https://t.co/D54ctFP0KO","https://www.itg.be/E/Vacancy/research-assistant-maternal-and-reproductive-health","http://pbs.twimg.com/media/EMA-CfHXsAEqK3Y.jpg","https://t.co/AmzcGMYhVa","https://twitter.com/SRHgroup_ITM/status/1207032918767480833/photo/1","photo","http://pbs.twimg.com/media/EMA-CfHXsAEqK3Y.jpg","https://t.co/AmzcGMYhVa","https://twitter.com/SRHgroup_ITM/status/1207032918767480833/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SRHgroup_ITM/status/1207032918767480833","Sexual & Reproductive Health Group at ITM Antwerp","Antwerp, Belgium","Research group focusing on sexual, reproductive and maternal health, including HIV and STIs @ITMAntwerp",,FALSE,129,610,0,52,50,2019-11-20 09:30:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/1197084865772032001/1575404455",,"http://pbs.twimg.com/profile_images/1201959515253592065/izb2QnX9_normal.jpg"
"x135215691","x1207031477520744449",2019-12-17 20:15:04,"JoyceBrowne","Exciting #vacancy about #maternal and #reproductive health research with @lenkabenova!

More info: https://t.co/WqJax7yYFc

#PhDresearch #EpiTwitter #SDG3 @StreamsUniting @ITMantwerp","Twitter Web App",182,,,,FALSE,FALSE,5,1,,,"vacancy maternal reproductive PhDresearch EpiTwitter SDG3",,"itg.be/E/Vacancy/rese…","https://t.co/WqJax7yYFc","https://www.itg.be/E/Vacancy/research-assistant-maternal-and-reproductive-health",,,,,,,,,"x2828650364 x1133270953696346112 x397151941","lenkabenova StreamsUniting ITMantwerp","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JoyceBrowne/status/1207031477520744449","Joyce Browne","","MD, PhD. Global Health optimist. Assistant Professor Global Health @UMCUtrecht. Focus: maternal health. #FacesofScience. Board @_NVTG. Incoming RvT @SimaviNL","https://t.co/oW5bRQTsgl",FALSE,956,1399,31,3738,5232,2010-04-20 17:21:31,FALSE,"https://t.co/oW5bRQTsgl","http://www.kennislink.nl/facesofscience/wetenschappers/joyce-browne",,"https://pbs.twimg.com/profile_banners/135215691/1476879184","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1163943665737326596/3etuOOl3_normal.png"
"x995555982","x1206975905844871168",2019-12-17 16:34:15,"MELISAInstitute","Visit our website to find #Infographics with useful information on #maternal #Health  https://t.co/9kOeDvAGBN 

#epidemiology #human #reproduction #biomarkers #prenatal #medicine","Twitter Web App",178,,,,FALSE,FALSE,0,0,,,"Infographics maternal Health epidemiology human reproduction biomarkers prenatal medicine",,"bit.ly/2POhxun","https://t.co/9kOeDvAGBN","https://bit.ly/2POhxun",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MELISAInstitute/status/1206975905844871168","MELISA Institute","Concepción, Chile","Molecular Epidemiology for Life Science Research | Maternal Health, Embryo-Mother Molecular Cross-Talk and Early Prenatal Therapies, our current research lines","https://t.co/7hhib5PS4Y",FALSE,1687,364,28,2591,351,2012-12-07 18:03:35,FALSE,"https://t.co/7hhib5PS4Y","http://www.melisainstitute.org",,"https://pbs.twimg.com/profile_banners/995555982/1558448302","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/861725400522567680/j1wL004g_normal.jpg"
"x46817205","x1206957576006488064",2019-12-17 15:21:24,"Taslimarif","Presenting the 11 winners of CCAMP #BREC #NBEC2019 across #maternal #childhealth #water #sanitation #agritech #digitalhealth #medtech #diagnostics #AntimicrobialResistance #biologics
together winning a total 3Cr INR in cash prize &amp; investment opportunities! Congrats to all! https://t.co/YsBwLI1eEX","Twitter for iPhone",278,,,,TRUE,FALSE,15,5,,,"BREC NBEC2019 maternal childhealth water sanitation agritech digitalhealth medtech diagnostics AntimicrobialResistance biologics",,"twitter.com/ccamp_bangalor…","https://t.co/YsBwLI1eEX","https://twitter.com/ccamp_bangalore/status/1206454822162980864",,,,,,,,,,,"en","x1206454822162980864","Presenting the 11 winners of CCAMP #BREC #NBEC2019 across #maternal #childhealth #water #sanitation #agritech #digitalhealth #medtech #diagnostics #AntimicrobialResistance #biologics
together winning a total 3Cr INR in cash prize &amp; investment opportunities! Congrats to all! https://t.co/3zHFbe8gM1",2019-12-16 06:03:39,"Twitter Web App",19,11,"x3066412969","CCAMP_Bangalore","C-CAMP",7799,136,3191,"Bengaluru, Karnataka","A Dept of Biotechnology (GOI) supported initiative with mandate to foster high-end research and innovation",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Taslimarif/status/1206957576006488064","Taslimarif Saiyed","Bangalore","Innovation & Sports Enthusiast | Early Translation Innovator, Neuroscientist , Startup Mentor | CEO & Director @CCAMP_Bangalore. Tweeting in personal capacity.","https://t.co/af5jhBgCbY",FALSE,2401,449,44,2854,4655,2009-06-13 03:34:49,FALSE,"https://t.co/af5jhBgCbY","http://ccamp.res.in",,"https://pbs.twimg.com/profile_banners/46817205/1541667091","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/645198111061635072/SLS5ewI4_normal.jpg"
"x87719246","x1206948439151595533",2019-12-17 14:45:06,"VanderbiltNurse","Good news! ""Inpatient #Maternal Mortality in the United States, 2002-2014,"" co-authored by assistant professor Mulubrhan Mogos, PhD, MSc, has been published in Nursing Research: https://t.co/UvxtKLIcMr. #nursingscience #birth #womenshealth #vandygram https://t.co/gySFd6UPnX","Hootsuite Inc.",250,,,,FALSE,FALSE,1,0,,,"Maternal nursingscience birth womenshealth vandygram",,"bit.ly/2PM006A","https://t.co/UvxtKLIcMr","http://bit.ly/2PM006A","http://pbs.twimg.com/media/EL_xNU0WkAQ6SHE.jpg","https://t.co/gySFd6UPnX","https://twitter.com/VanderbiltNurse/status/1206948439151595533/photo/1","photo","http://pbs.twimg.com/media/EL_xNU0WkAQ6SHE.jpg","https://t.co/gySFd6UPnX","https://twitter.com/VanderbiltNurse/status/1206948439151595533/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/VanderbiltNurse/status/1206948439151595533","Vanderbilt Nursing","Nashville, TN","Official Vanderbilt Univ. School of Nursing account for all followers. @BetseyU1 writes most tweets. VU guidelines: https://t.co/gvuSG9pl6A. Use #VUSN","https://t.co/Cuv9xdV7qh",FALSE,7031,389,109,14696,2152,2009-11-05 16:02:05,FALSE,"https://t.co/Cuv9xdV7qh","https://nursing.vanderbilt.edu/",,"https://pbs.twimg.com/profile_banners/87719246/1554472734","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1131621169747046400/YMMMCV6d_normal.png"
