"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1617837012","x1207318853677510656",2019-12-18 15:17:00,"Crit_Care","#CC #OpenAccess https://t.co/X4WCUuZnok

Complementary analytic approaches to identify #biomarkers that show promise in predicting #survival in acute #respiratory distress syndrome (#ARD)

#FOAMed #FOAMcc #BMC  #CriticalCare #ICU #Mortality https://t.co/b8CfvYywgK","TweetDeck",240,,,,FALSE,FALSE,3,0,,,"CC OpenAccess biomarkers survival respiratory ARD FOAMed FOAMcc BMC CriticalCare ICU Mortality",,"bit.ly/2M1z55W","https://t.co/X4WCUuZnok","https://bit.ly/2M1z55W","http://pbs.twimg.com/media/EL_mYjTWsAA1e2u.jpg","https://t.co/b8CfvYywgK","https://twitter.com/Crit_Care/status/1207318853677510656/photo/1","photo","http://pbs.twimg.com/media/EL_mYjTWsAA1e2u.jpg","https://t.co/b8CfvYywgK","https://twitter.com/Crit_Care/status/1207318853677510656/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Crit_Care/status/1207318853677510656","Critical Care","London, UK","Critical Care is an international open access journal that publishes articles in all areas of intensive care and emergency medicine.","https://t.co/AjLtFyzZRP",FALSE,29020,779,302,6096,2113,2013-07-24 14:13:22,TRUE,"https://t.co/AjLtFyzZRP","https://ccforum.biomedcentral.com/",,"https://pbs.twimg.com/profile_banners/1617837012/1536766591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1027135682291146759/BXWZmpwf_normal.jpg"
"x1617837012","x1205140250684579841",2019-12-12 15:00:00,"Crit_Care","#CC #OpenAccess https://t.co/9VXh0V7c0t

Acute respiratory distress syndrome (#ARDS) is an inflammatory process leading to diffuse #edema and life-threatening hypoxemic #respiratory failure: risk factors of mechanical ventilation

#FOAMed #FOAMcc #BMC  #CriticalCare #Imflammation https://t.co/zmPAbO6us2","TweetDeck",280,,,,FALSE,FALSE,34,21,,,"CC OpenAccess ARDS edema respiratory FOAMed FOAMcc BMC CriticalCare Imflammation",,"bit.ly/2DXjAY6","https://t.co/9VXh0V7c0t","https://bit.ly/2DXjAY6","http://pbs.twimg.com/media/ELWs7ArXYAI8uzv.jpg","https://t.co/zmPAbO6us2","https://twitter.com/Crit_Care/status/1205140250684579841/photo/1","photo","http://pbs.twimg.com/media/ELWs7ArXYAI8uzv.jpg","https://t.co/zmPAbO6us2","https://twitter.com/Crit_Care/status/1205140250684579841/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Crit_Care/status/1205140250684579841","Critical Care","London, UK","Critical Care is an international open access journal that publishes articles in all areas of intensive care and emergency medicine.","https://t.co/AjLtFyzZRP",FALSE,29020,779,302,6096,2113,2013-07-24 14:13:22,TRUE,"https://t.co/AjLtFyzZRP","https://ccforum.biomedcentral.com/",,"https://pbs.twimg.com/profile_banners/1617837012/1536766591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1027135682291146759/BXWZmpwf_normal.jpg"
"x1617837012","x1204415473086943237",2019-12-10 15:00:00,"Crit_Care","#CC #OpenAccess https://t.co/Ca8LQZ15FT
Therapeutic hypothermia did not reduce but might increase the mortality rate of patients with traumatic brain injury

#FOAMed #FOAMcc #BMC  #CriticalCare #Lung #Respiratory https://t.co/LxCyxAHlRJ","TweetDeck",212,,,,FALSE,FALSE,39,34,,,"CC OpenAccess FOAMed FOAMcc BMC CriticalCare Lung Respiratory",,"bit.ly/34WQe83","https://t.co/Ca8LQZ15FT","https://bit.ly/34WQe83","http://pbs.twimg.com/media/ELHCDM0WwAUjyoT.jpg","https://t.co/LxCyxAHlRJ","https://twitter.com/Crit_Care/status/1204415473086943237/photo/1","photo","http://pbs.twimg.com/media/ELHCDM0WwAUjyoT.jpg","https://t.co/LxCyxAHlRJ","https://twitter.com/Crit_Care/status/1204415473086943237/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Crit_Care/status/1204415473086943237","Critical Care","London, UK","Critical Care is an international open access journal that publishes articles in all areas of intensive care and emergency medicine.","https://t.co/AjLtFyzZRP",FALSE,29020,779,302,6096,2113,2013-07-24 14:13:22,TRUE,"https://t.co/AjLtFyzZRP","https://ccforum.biomedcentral.com/",,"https://pbs.twimg.com/profile_banners/1617837012/1536766591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1027135682291146759/BXWZmpwf_normal.jpg"
"x1617837012","x1204777862500438018",2019-12-11 15:00:00,"Crit_Care","#CC #OpenAccess https://t.co/zqUYnZ578n
Differences between acute #respiratory distress syndrome at MV onset and after MV onset and risk factors for the development of ARDS after MV onset in five Peruvian #ICUs 

#FOAMed #FOAMcc #BMC  #CriticalCare #Lung #Respiratory #Ventilation https://t.co/PFgoGZmvcN","TweetDeck",280,,,,FALSE,FALSE,28,11,,,"CC OpenAccess respiratory ICUs FOAMed FOAMcc BMC CriticalCare Lung Respiratory Ventilation",,"bit.ly/2qskw3H","https://t.co/zqUYnZ578n","https://bit.ly/2qskw3H","http://pbs.twimg.com/media/ELHFGp9XYAEl3dk.jpg","https://t.co/PFgoGZmvcN","https://twitter.com/Crit_Care/status/1204777862500438018/photo/1","photo","http://pbs.twimg.com/media/ELHFGp9XYAEl3dk.jpg","https://t.co/PFgoGZmvcN","https://twitter.com/Crit_Care/status/1204777862500438018/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Crit_Care/status/1204777862500438018","Critical Care","London, UK","Critical Care is an international open access journal that publishes articles in all areas of intensive care and emergency medicine.","https://t.co/AjLtFyzZRP",FALSE,29020,779,302,6096,2113,2013-07-24 14:13:22,TRUE,"https://t.co/AjLtFyzZRP","https://ccforum.biomedcentral.com/",,"https://pbs.twimg.com/profile_banners/1617837012/1536766591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1027135682291146759/BXWZmpwf_normal.jpg"
"x3280336904","x1207305240262987781",2019-12-18 14:22:54,"AxtoxthexO","This is already making the rounds in the rags and on twitter. #bacteria
#vapor #ecigarettes #ecig #ecigs 

Electronic cigarette #vapour increases #virulence and #inflammatory potential of respiratory #pathogens | #Respiratory Research | Full Text https://t.co/SbbM0PLRNy","Twitter Web App",270,,,,FALSE,FALSE,1,0,,,"bacteria vapor ecigarettes ecig ecigs vapour virulence inflammatory pathogens Respiratory",,"respiratory-research.biomedcentral.com/articles/10.11…","https://t.co/SbbM0PLRNy","https://respiratory-research.biomedcentral.com/articles/10.1186/s12931-019-1206-8",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AxtoxthexO/status/1207305240262987781","Aline Auger","Canada","Just a tenant being evicted after 5 days of smoke and carbon monoxide from WOODWORK's wood-fire vent. – 'do what ya gotta do.' – Contractor, PRO.","https://t.co/P2cfnUW5cS",FALSE,499,3829,11,9496,6498,2015-07-15 05:50:21,FALSE,"https://t.co/P2cfnUW5cS","https://fundrazr.com/campaigns/512Brd/ab/a55az3",,"https://pbs.twimg.com/profile_banners/3280336904/1442643090","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/621196877048889344/Psp9aAeb_normal.jpg"
"x845622996349976576","x1207302752730267648",2019-12-18 14:13:01,"prwukee","This am @HCTpulmrehab ran their monthly #breathing problems education session in #stevenage . We always get great feedback at this session which all pts referred for 1-1 #respiratory #physio attend pre ax. @HCTNHS @TheACPRC @pulm_rehabUHL @ActionPFcharity @PulmonaryRehab @bobfm https://t.co/n0sAEQhy8u","Twitter Web Client",278,,,,FALSE,FALSE,1,1,,,"breathing stevenage respiratory physio",,,,,"http://pbs.twimg.com/media/EMEyrBMXkAAX6rY.jpg","https://t.co/n0sAEQhy8u","https://twitter.com/prwukee/status/1207302752730267648/photo/1","photo","http://pbs.twimg.com/media/EMEyrBMXkAAX6rY.jpg http://pbs.twimg.com/media/EMEysHwWwAAXZco.jpg","https://t.co/n0sAEQhy8u https://t.co/n0sAEQhy8u","https://twitter.com/prwukee/status/1207302752730267648/photo/1 https://twitter.com/prwukee/status/1207302752730267648/photo/1",,"x798836351806283776 x2826271172 x1728120193 x878227450953695233 x2333845447 x256481630 x19181210","HCTpulmrehab HCTNHS TheACPRC pulm_rehabUHL ActionPFcharity PulmonaryRehab bobfm","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/prwukee/status/1207302752730267648","@prwukee","England, United Kingdom","June 15-21 2020 #pulmonaryrehabweekuk 
Raising awareness about the (benefits) & (existence) of exercise & education for lung illness #PulmonaryRehab","https://t.co/ctfEGBQddy",FALSE,899,1308,0,1480,3573,2017-03-25 13:06:48,FALSE,"https://t.co/ctfEGBQddy","https://youtu.be/hTYEywO4CbE",,"https://pbs.twimg.com/profile_banners/845622996349976576/1561436924",,"http://pbs.twimg.com/profile_images/847102417263099905/TzVwJwZm_normal.jpg"
"x2265044430","x1205472945314897920",2019-12-13 13:02:01,"EMJRespiratory","Gain more medical insight for your research by subscribing to EMJ to get the latest updates in #Respiratory https://t.co/HSOq7WNuvO https://t.co/0Qn1fzYmdV","Hootsuite Inc.",131,,,,FALSE,FALSE,0,0,,,"Respiratory",,"ow.ly/trsZ30pZDDi","https://t.co/HSOq7WNuvO","http://ow.ly/trsZ30pZDDi","http://pbs.twimg.com/media/ELqzQNyWkAAB69l.jpg","https://t.co/0Qn1fzYmdV","https://twitter.com/EMJRespiratory/status/1205472945314897920/photo/1","photo","http://pbs.twimg.com/media/ELqzQNyWkAAB69l.jpg","https://t.co/0Qn1fzYmdV","https://twitter.com/EMJRespiratory/status/1205472945314897920/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EMJRespiratory/status/1205472945314897920","EMJ Respiratory","United Kingdom","EMJ Respiratory is an @EMJreviews open-access, European medical journal for doctors & healthcare professionals. Subscribe at: https://t.co/fEkLGqktZB","https://t.co/24RoiPAvOZ",FALSE,6222,1406,141,10123,632,2013-12-27 23:18:13,FALSE,"https://t.co/24RoiPAvOZ","http://emjreviews.com/therapeutic-area/respiratory/",,"https://pbs.twimg.com/profile_banners/2265044430/1541062833","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057920247112581120/lpHW9Ned_normal.jpg"
"x2265044430","x1207302033625272321",2019-12-18 14:10:10,"EMJRespiratory","Got a moment? Subscribe to our channel to watch some EMJ #Respiratory video content https://t.co/PYWlomFvSA https://t.co/zGjZCYZRcX","Hootsuite Inc.",107,,,,FALSE,FALSE,0,0,,,"Respiratory",,"ow.ly/XG3830pVyny","https://t.co/PYWlomFvSA","http://ow.ly/XG3830pVyny","http://pbs.twimg.com/media/EMEyzMzWoAAJdva.jpg","https://t.co/zGjZCYZRcX","https://twitter.com/EMJRespiratory/status/1207302033625272321/photo/1","photo","http://pbs.twimg.com/media/EMEyzMzWoAAJdva.jpg","https://t.co/zGjZCYZRcX","https://twitter.com/EMJRespiratory/status/1207302033625272321/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/EMJRespiratory/status/1207302033625272321","EMJ Respiratory","United Kingdom","EMJ Respiratory is an @EMJreviews open-access, European medical journal for doctors & healthcare professionals. Subscribe at: https://t.co/fEkLGqktZB","https://t.co/24RoiPAvOZ",FALSE,6222,1406,141,10123,632,2013-12-27 23:18:13,FALSE,"https://t.co/24RoiPAvOZ","http://emjreviews.com/therapeutic-area/respiratory/",,"https://pbs.twimg.com/profile_banners/2265044430/1541062833","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1057920247112581120/lpHW9Ned_normal.jpg"
"x25084400","x1207300040944955393",2019-12-18 14:02:14,"Luminex","The #NxTAG Respiratory Pathogen Panel simultaneously detects 20 viral &amp; bacterial pathogens known to cause respiratory infections. It has also saved the day for Jenny and her staff at @NHS_Lothian. #respiratory #flu
https://t.co/dveqOjnikN https://t.co/1V6Gr3WXPF","HubSpot",243,,,,FALSE,FALSE,3,1,,,"NxTAG respiratory flu",,"hubs.ly/H0mfmZP0","https://t.co/dveqOjnikN","https://hubs.ly/H0mfmZP0","http://pbs.twimg.com/media/EMEw_T2WoAAEkqt.jpg","https://t.co/1V6Gr3WXPF","https://twitter.com/Luminex/status/1207300040944955393/photo/1","photo","http://pbs.twimg.com/media/EMEw_T2WoAAEkqt.jpg","https://t.co/1V6Gr3WXPF","https://twitter.com/Luminex/status/1207300040944955393/photo/1",,"x87191924","NHS_Lothian","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Luminex/status/1207300040944955393","Luminex Corporation","Global","Luminex empowers labs to obtain reliable, timely, and actionable answers, ultimately advancing health. Youtube: https://t.co/239ppb97oe","https://t.co/8c0DjUnc5X",FALSE,3838,4105,77,4815,673,2009-03-18 14:51:23,FALSE,"https://t.co/8c0DjUnc5X","https://www.luminexcorp.com/",,"https://pbs.twimg.com/profile_banners/25084400/1568587726","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/3498697136/662ffecf7f6dd3118304980e2e64cae6_normal.png"
"x821372136371654656","x1207298972475428864",2019-12-18 13:58:00,"NHSGIRFT","A second look at #respiratory services for Dr Martin Allen and his #GIRFT team this afternoon, this time off to @LG_NHS to meet the team. Looking forward to hearing about all the good work in Lewisham and Greenwich
@BTSrespiratory https://t.co/1cn2mV0pmM","TweetDeck",230,,,,FALSE,FALSE,1,0,,,"respiratory GIRFT",,,,,"http://pbs.twimg.com/media/EL-45H6WsAAAZvq.jpg","https://t.co/1cn2mV0pmM","https://twitter.com/NHSGIRFT/status/1207298972475428864/photo/1","photo","http://pbs.twimg.com/media/EL-45H6WsAAAZvq.jpg","https://t.co/1cn2mV0pmM","https://twitter.com/NHSGIRFT/status/1207298972475428864/photo/1",,"x92067857 x3074930241","LG_NHS BTSrespiratory","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NHSGIRFT/status/1207298972475428864","GIRFT","England, United Kingdom","Getting It Right First Time (GIRFT); a clinically-led programme helping to improve the quality of care within the NHS by reducing unwarranted variation","https://t.co/XYMtTphp1s",FALSE,7134,251,27,1930,1268,2017-01-17 15:02:32,FALSE,"https://t.co/XYMtTphp1s","http://www.GettingItRightFirstTime.co.uk",,"https://pbs.twimg.com/profile_banners/821372136371654656/1535123763",,"http://pbs.twimg.com/profile_images/1042062531286720512/hp1drNAd_normal.jpg"
